Census Tract,Population,Housing Units in Tract,"LI, LA - 1 mile radius","LI, LA - 0.5 mile radius",Low Income Tracts,Poverty Rate (%),Median Family Income,LA - 1 mile radius,LA - 0.5 mile radius,"LA,LI - 0.5 mile radius","LA - Kids population, 0.5 mile radius","LA - Senior population, 0.5 mile radius","LA - Kids population, 1 mile radius","LA - Senior population, 1 mile radius","LA - Housing Units w/ Snap Benefits, 0.5 mile radius","LA - Housing Units w/ Snap Benefits, 1 mile radius",Total Count of Housing w/ Snap Benefits,Snap Percentage
42101025900,4755,2060,0,1,1,13.33489024,64583.0,0,1,521.2935443,337.36526,201.31505,,,83.13998935,,296,14
42101026000,2788,1197,0,1,1,11.15796302,51458.0,0,1,530.2940637,312.9355404,227.0241974,,,106.5388427,,220,18
42101026100,2995,1398,0,1,1,17.40486588,56250.0,0,1,1036.910016,497.12806,662.1995501,,,236.7231969,,241,17
42101026200,4065,1758,0,1,1,10.15463918,66250.0,0,1,931.8155252,601.1852113,535.4085713,,,131.9093237,,189,10
42101026301,3840,1555,0,0,1,17.92124297,49643.0,0,0,73.98741865,47.24999231,30.42733103,,,24.53815515,,358,23
42101026302,5480,2082,0,1,1,10.72188891,46969.0,0,1,1127.11722,538.3648637,325.6576699,,,178.382617,,376,18
42101026400,5241,2143,0,1,1,7.295825771,63320.0,0,1,493.297591,413.0429619,360.9938075,,,126.7406702,,318,14
42101026500,4340,1687,0,1,1,18.26738379,49904.0,0,1,2011.866124,1089.000017,625.0000087,,,514.1135153,,494,29
42101026600,6667,2492,0,1,1,22.90536468,53073.0,0,1,2138.538213,1269.83861,828.2289656,,,480.0212589,,525,21
42101026700,6565,2549,0,1,1,27.42762364,41472.0,0,1,2057.777128,1262.819418,830.317156,,,676.5377761,,859,33
42101026800,4647,1873,0,1,1,25.28374789,51823.0,0,1,496.1738668,295.1059805,118.9085563,,,135.7140349,,497,26
42101026900,2199,688,0,1,1,21.45061728,92813.0,0,1,506.6796712,323.604059,378.5775946,,,136.9090012,,192,27
42101027000,2326,922,0,0,0,14.12325752,95156.0,0,1,161.1765093,167.0210713,57.51696253,,,42.87575428,,168,18
